type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-01-20 12:13:13,60.46190032,22.29754667,4,33.771,,8.700,16,27,40,20220120-141313,GPS Logger: 20220120-141313
T,2022-01-20 12:13:14,60.46197799,22.29758953,4,33.595,,8.990,15,27,40,,
T,2022-01-20 12:13:15,60.46206210,22.29763216,4,33.311,,9.220,15,27,40,,
T,2022-01-20 12:13:16,60.46214814,22.29767292,4,33.650,,9.330,14,26,40,,
T,2022-01-20 12:13:17,60.46223101,22.29770705,4,32.666,,9.450,15,27,40,,
T,2022-01-20 12:13:18,60.46231385,22.29774564,4,32.246,,9.390,18,27,40,,
T,2022-01-20 12:13:19,60.46238899,22.29779036,4,32.618,,8.670,343,27,40,,
T,2022-01-20 12:13:20,60.46246366,22.29782768,4,32.945,,8.640,8,27,40,,
T,2022-01-20 12:13:21,60.46253301,22.29787086,4,33.851,,8.170,19,26,40,,
T,2022-01-20 12:13:22,60.46258608,22.29791319,4,35.000,,6.850,21,26,40,,
T,2022-01-20 12:13:23,60.46265376,22.29798123,4,36.142,,7.520,22,24,40,,
T,2022-01-20 12:13:24,60.46271388,22.29793554,4,36.151,,6.820,347,25,40,,
T,2022-01-20 12:13:25,60.46278012,22.29788787,4,35.568,,6.500,327,26,40,,
T,2022-01-20 12:13:26,60.46282500,22.29781561,4,35.299,,6.560,310,24,40,,
T,2022-01-20 12:13:27,60.46286552,22.29772363,4,36.093,,6.640,293,24,40,,
T,2022-01-20 12:13:28,60.46289182,22.29759929,4,36.606,,6.860,280,24,40,,
T,2022-01-20 12:13:29,60.46290832,22.29745910,4,36.472,,7.490,274,24,40,,
T,2022-01-20 12:13:30,60.46292330,22.29731557,4,36.733,,8.030,276,24,40,,
T,2022-01-20 12:13:31,60.46294238,22.29715677,4,37.765,,8.560,278,23,40,,
T,2022-01-20 12:13:32,60.46295694,22.29699322,4,38.031,,9.080,277,23,40,,
T,2022-01-20 12:13:33,60.46297680,22.29682890,4,39.310,,9.620,277,24,40,,
T,2022-01-20 12:13:34,60.46299422,22.29665149,4,39.489,,10.030,277,23,40,,
T,2022-01-20 12:13:35,60.46301293,22.29646089,4,39.464,,10.310,276,22,40,,
T,2022-01-20 12:13:36,60.46302831,22.29628412,4,39.215,,10.160,275,19,40,,
T,2022-01-20 12:13:37,60.46303816,22.29609334,4,39.244,,10.310,274,20,40,,
T,2022-01-20 12:13:38,60.46304329,22.29589458,4,38.866,,10.480,273,19,39,,
T,2022-01-20 12:13:39,60.46304910,22.29569793,4,38.242,,10.170,272,18,40,,
T,2022-01-20 12:13:40,60.46304966,22.29551790,4,38.305,,10.340,272,17,40,,
T,2022-01-20 12:13:41,60.46305482,22.29535392,4,37.858,,9.530,272,18,40,,
T,2022-01-20 12:13:42,60.46308388,22.29524261,4,36.765,,8.190,279,18,40,,
T,2022-01-20 12:13:43,60.46311373,22.29512263,4,35.504,,7.760,292,20,40,,
T,2022-01-20 12:13:44,60.46317080,22.29503211,4,35.016,,7.180,310,23,39,,
T,2022-01-20 12:13:45,60.46325394,22.29496306,4,32.972,,7.540,324,24,40,,
T,2022-01-20 12:13:46,60.46334462,22.29491407,4,31.508,,8.870,331,25,40,,
T,2022-01-20 12:13:47,60.46344491,22.29484154,4,30.398,,10.070,333,26,40,,
T,2022-01-20 12:13:48,60.46354418,22.29476292,4,29.540,,10.700,334,26,40,,
T,2022-01-20 12:13:49,60.46363949,22.29468937,4,28.890,,10.980,336,26,40,,
T,2022-01-20 12:13:50,60.46372823,22.29461922,4,30.354,,10.650,336,26,40,,
T,2022-01-20 12:13:51,60.46381754,22.29454810,4,29.696,,10.170,338,26,40,,
T,2022-01-20 12:13:52,60.46389344,22.29449536,4,28.420,,9.040,337,26,40,,
T,2022-01-20 12:13:53,60.46396618,22.29444260,4,28.610,,8.100,335,26,40,,
T,2022-01-20 12:13:54,60.46402380,22.29438434,4,28.889,,6.880,333,26,40,,
T,2022-01-20 12:13:55,60.46407277,22.29433348,4,28.955,,6.200,330,23,40,,
T,2022-01-20 12:13:56,60.46411711,22.29428945,4,29.582,,5.490,327,21,40,,
T,2022-01-20 12:13:57,60.46414994,22.29424220,4,29.717,,4.530,330,23,40,,
T,2022-01-20 12:13:58,60.46417919,22.29422198,4,29.076,,3.600,339,23,40,,
T,2022-01-20 12:13:59,60.46420245,22.29422200,4,28.806,,3.090,352,23,40,,
T,2022-01-20 12:14:00,60.46423282,22.29423044,4,29.099,,3.120,4,23,40,,
T,2022-01-20 12:14:01,60.46426292,22.29424377,4,28.746,,3.530,10,25,40,,
T,2022-01-20 12:14:02,60.46430592,22.29426961,4,28.796,,4.670,10,25,40,,
T,2022-01-20 12:14:03,60.46435532,22.29429095,4,28.822,,5.220,13,26,40,,
