type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2022-02-18 12:47:26.144,60.38235297,22.77686972,8,36.987,,0.000,,8,43,20220218-144726,GPS Logger: 20220218-144726 - Jee
T,2022-02-18 12:47:27,60.38235165,22.77682090,5,51.237,,0.230,61,7,43,,
T,2022-02-18 12:47:29,60.38234862,22.77684805,4,54.446,,0.000,,26,44,,
T,2022-02-18 12:47:30,60.38235192,22.77684970,5,53.619,,0.000,,26,44,,
T,2022-02-18 12:47:31,60.38234911,22.77685704,4,53.068,,0.000,,26,44,,
T,2022-02-18 12:47:32,60.38235048,22.77686023,4,53.123,,0.000,,26,44,,
T,2022-02-18 12:47:33,60.38235068,22.77685998,4,52.589,,0.000,,27,44,,
T,2022-02-18 12:47:34,60.38234997,22.77686144,4,52.755,,0.000,,27,44,,
T,2022-02-18 12:47:35,60.38234945,22.77686313,4,52.912,,0.000,,25,44,,
T,2022-02-18 12:47:36,60.38234961,22.77686301,5,53.220,,0.000,,19,44,,
T,2022-02-18 12:47:37,60.38234873,22.77686700,4,53.051,,0.000,,19,44,,
T,2022-02-18 12:47:38,60.38234923,22.77686782,4,53.363,,0.000,,21,44,,
T,2022-02-18 12:47:39,60.38234779,22.77686604,4,52.651,,0.000,,21,44,,
T,2022-02-18 12:47:40,60.38234831,22.77686622,5,52.661,,0.000,,21,44,,
T,2022-02-18 12:47:41,60.38234788,22.77686772,5,52.687,,0.000,,21,44,,
T,2022-02-18 12:47:42,60.38234814,22.77686786,5,52.898,,0.000,,23,44,,
T,2022-02-18 12:47:43,60.38234789,22.77686762,5,52.953,,0.000,,24,44,,
T,2022-02-18 12:47:44,60.38234775,22.77686780,5,52.971,,0.000,,17,44,,
T,2022-02-18 12:47:45,60.38234776,22.77686784,4,52.946,,0.000,,16,44,,
T,2022-02-18 12:47:46,60.38234758,22.77686820,4,52.924,,0.000,,17,44,,
