Label,RMS,RMS_filt,Spectral_centroid,Spectral_centroid_filt,Zero-Cross,Zero-Cross_filt,Spectral_slope,Spectral_slope_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt
Wet gravel,121.36131809749838,85.66330485275074,1214,1823,706.9415625251071,809.972502854982,-4.8933685023070076e-08,-4.647319707918017e-08,892.8185297524504,921.568378125202,121.36056846669014,85.66330138684029
Wet gravel,121.90214827468019,85.40397070703878,1848,2742,932.7300968143064,1058.8196428804586,-4.3541615760104636e-08,-4.053046389685839e-08,1101.399680725606,1121.3505005573843,121.90049301208536,85.40396706413705
Wet gravel,143.28180471309255,105.14578176416187,3565,5045,1296.9443048741527,1440.8023292284233,-3.484379484285918e-08,-3.1408312904887706e-08,1250.8410036799442,1237.9137111956707,143.28178096470862,105.14576505054569
Wet gravel,178.57684499761723,131.94747599701756,3382,4469,1170.1359729761057,1333.2253123851224,-3.7872112072819084e-08,-3.397736596928871e-08,1232.239102502508,1234.1362104420862,178.5766307977514,131.9474702286461
Wet gravel,329.4445975085013,265.59582849115066,4865,6218,1467.4235617340914,1604.4018246404044,-3.0772569686181085e-08,-2.75013837358551e-08,1330.6052972625894,1315.9158175468494,329.444252396269,265.595823619754
Wet gravel,644.6855146141049,466.4296697840358,3120,4751,1223.2794044494847,1367.3482278178321,-3.660299066114863e-08,-3.3162474619527714e-08,1239.133466225569,1241.1120774015544,644.6855144390474,466.4296543066766
Wet gravel,636.768749735491,535.420434716826,2828,3385,943.3072888017074,1054.5867812358533,-4.328902121635026e-08,-4.063154911467121e-08,1084.263730737105,1100.9068395490226,636.7665434698041,535.4202544385633
Wet gravel,922.179775158243,614.6747205849631,2775,4026,1007.5858669588439,1179.8223156873448,-4.1753980712015874e-08,-3.764079195300768e-08,1132.5737002011863,1136.1768097214594,922.1783982621852,614.6745094417544
Wet gravel,841.9241705389753,662.7959187210218,2541,3248,906.3646872736705,1013.5486231526385,-4.41712496555418e-08,-4.1611583780761895e-08,1056.5197562678127,1049.5558601239459,841.9200943627458,662.7957732760447
Wet gravel,1087.7242172090978,868.4727118974927,2471,3061,897.3150305287802,1002.3938737027642,-4.4387365040355845e-08,-4.187797100823601e-08,1014.6458292380794,1020.4243930390402,1087.7229473146508,868.472646823018
Wet gravel,1055.3970131566311,893.3899080642839,3562,4331,1191.0489803643975,1302.5599512173333,-3.737268731376492e-08,-3.470968726235659e-08,1209.9167448954681,1212.1267910126548,1055.395599117262,893.3898658868152
Wet gravel,1011.1119966575285,819.0567680293519,2812,3535,962.5619314651806,1077.766926287384,-4.282919996279575e-08,-4.007798270778118e-08,1060.516836267001,1072.7301765248983,1011.1099041197627,819.056707203625
Wet gravel,1186.8592092322588,1038.4061813974977,2449,2816,835.3308227683341,921.6751870240006,-4.586761355034564e-08,-4.380561871079837e-08,955.9619403427698,961.7839575123563,1186.8549384246335,1038.4061767166502
Wet gravel,738.3860711491608,614.8102075702344,2909,3508,952.2762826398246,1060.1102174572504,-4.3074832147155556e-08,-4.0499643609508584e-08,1059.9828264865625,1070.7849660204606,738.3805058096208,614.8099677285403
Wet gravel,847.8199822016367,723.6155080714707,3382,3888,1075.7533516126894,1191.3628749420413,-4.012606900297896e-08,-3.7365191178900256e-08,1144.0427701795718,1149.145381040973,847.8199378563461,723.6154952130913
Wet gravel,830.9395179748146,695.3685545143585,3368,3965,1061.5275211738876,1176.910884999864,-4.0465796896118885e-08,-3.771032000043771e-08,1132.9914358851283,1140.503932416888,830.9382950781061,695.3685496297612
Wet gravel,762.8329452749774,598.949133086624,2989,3814,1020.2238957737203,1161.942878624153,-4.1452171202814295e-08,-3.8067771840764404e-08,1160.1805389041062,1170.6103392624825,762.8254092628382,598.9491124842385
Wet gravel,976.4506266710787,766.9700742535946,2592,3223,944.442343204016,1083.272270688864,-4.326191491543136e-08,-3.994650925443373e-08,1105.7409859099707,1130.3344109583027,976.4433752525724,766.9700109662916
Wet gravel,1105.6573160200812,921.4832851558815,2758,3244,906.2834796731444,1021.9530279276177,-4.4173188979024703e-08,-4.141087769617993e-08,1046.930630610681,1057.478995188123,1105.6495895989494,921.4831037711278
Wet gravel,1121.5344834114537,821.867383517604,2111,2790,798.8572294117819,958.5900564859686,-4.673864157781787e-08,-4.292405254270718e-08,1056.7627073827582,1093.9757233522814,1121.5273372139368,821.8673689552513
Wet gravel,1233.9808436405,987.0018606935498,2622,3474,955.4872876022437,1083.2190948562632,-4.299814994885176e-08,-3.994777914961862e-08,1077.1101817816639,1092.9113565441166,1233.9735322618355,987.0018355810507
Wet gravel,1234.6588336241125,925.6146900666439,2300,2979,849.9876109526396,993.8596018749396,-4.551759392994648e-08,-4.208177845554271e-08,1038.0349515039768,1062.6116813843041,1234.6585047556703,925.6146361380742
Wet gravel,1380.2351307001943,1114.6249876825716,2445,3312,1396.811186872675,1534.3021327039182,-3.245886796201628e-08,-2.9175438600616e-08,1232.6354034078972,1211.2244151158256,1380.229059939617,1114.624987394584
Wet gravel,1144.5237883327875,897.8730542253152,2277,2767,836.2359739987166,964.400579375298,-4.584599758059304e-08,-4.2785291103947935e-08,1032.0522034698242,1058.7123282301286,1144.5076473340678,897.8728239549139
Wet gravel,878.8931271565908,656.1264190135225,2325,3025,888.1089867899776,1036.059071111109,-4.460721511216656e-08,-4.107401044952716e-08,1123.4054293083136,1153.02100282328,878.8930448375268,656.1255338481521
Wet gravel,1141.890362198166,863.9727128831117,1927,2435,771.3188685883081,905.6312025361175,-4.739628679180607e-08,-4.418876604768574e-08,1021.8949097512586,1051.686472973536,1141.8851232710076,863.9726140072437
Wet gravel,1191.902864425293,876.9693678528967,1907,2395,784.1711625576355,924.7366351152511,-4.708936040385299e-08,-4.373250808892839e-08,1042.1336028764292,1075.6489902829558,1191.899340218841,876.9693675853629
Wet gravel,1152.5890762227064,913.5740548498294,2080,2448,787.726627268892,915.2447482086785,-4.700445214203413e-08,-4.395918439823522e-08,1049.3487810350232,1073.738146891006,1152.5839855403028,913.5740249465828
Wet gravel,1076.1564710550965,807.3210413805341,2005,2587,788.8513758452501,938.2469457493418,-4.6977591955150685e-08,-4.340986756631493e-08,1038.8608221862312,1075.0548160660426,1076.1553159061125,807.320698215174
Wet gravel,1045.9801071158781,763.1221951405879,2330,3161,910.6585290161269,1068.1094612165925,-4.4068708168426786e-08,-4.0308613198963155e-08,1107.2823559138933,1134.0055650967743,1045.9717152229146,763.1220929218254
Wet gravel,1234.379835714903,952.956225484687,2142,2865,782.563393141943,917.015339753449,-4.7127755639800555e-08,-4.3916900797449746e-08,1021.4910503033707,1056.22757836837,1234.3741906906275,952.9560186859835
Wet gravel,1118.9108467428641,899.4232122098111,2350,3009,825.7718067346557,955.0579598506829,-4.6095892974283855e-08,-4.3008402750129817e-08,1045.4455228601516,1072.8905639556406,1118.9089303654769,899.4230902249761
Wet gravel,990.6848918296381,821.1948784157161,3596,4288,1142.7064935013989,1270.8776956367751,-3.852715708491554e-08,-3.5466293070685785e-08,1202.55599092278,1207.4608075134267,990.6825086583118,821.1945604409652
Wet gravel,2283.2687328643974,1803.5280769301978,2072,2578,658.0875788229583,766.1769693837238,-5.010036988031072e-08,-4.751908078903711e-08,868.177248558362,891.3746199064116,2283.2687272282624,1803.528003071448
Wet gravel,1612.295711968137,1280.1260800051239,1929,2399,623.6198197974435,731.0591681791432,-5.092349646018713e-08,-4.835773106441207e-08,833.8745609565806,862.2119678012691,1612.2910964990617,1280.1259828623665
Wet gravel,896.7631116655565,721.7697908115618,1585,2383,628.1645893554196,754.3481441201129,-5.0814962551155964e-08,-4.780156566065245e-08,941.249287169552,991.1543179819749,896.7631096658711,721.7697308218826
Wet gravel,758.3559730450139,473.4942207308235,1091,1831,683.9284745717704,848.2233418046239,-4.9483261929575727e-08,-4.555972654520334e-08,1055.7907504384864,1122.4966561508534,758.3556742662242,473.4942038620909
Wet gravel,1115.924677471047,760.5699118186966,1606,2129,688.5614497110619,862.2229608325162,-4.937262157787098e-08,-4.522540082006781e-08,1042.7007223345731,1112.0134224132457,1115.9238418317218,760.5698449968321
Wet gravel,1554.241924095398,933.9363195452502,1398,2417,711.3627853361135,916.589511379364,-4.8828101541167406e-08,-4.3927070029888546e-08,1077.9379049505987,1149.6277805029108,1554.2372076925533,933.9363194670802
Wet gravel,1779.5832038021797,1200.1562322395814,1493,2196,703.128276494533,870.6728981170871,-4.902475033097458e-08,-4.502360737094712e-08,1057.5195997760256,1113.4795713195047,1779.5823230433957,1200.156145184718
Wet gravel,1892.6434286610838,1224.633635162043,1510,2433,675.9110456561663,857.1096554214143,-4.9674726620907085e-08,-4.5347511967235455e-08,1028.5566456117256,1099.0436432038707,1892.6393996818542,1224.6335891895105
Wet gravel,2045.7907176733245,1483.8980984259604,1626,2336,708.7766449236414,849.6836120347455,-4.888986131241401e-08,-4.5524853745978835e-08,991.7812596848632,1038.0829592151024,2045.7886831203991,1483.8980797087863
Wet gravel,2887.4474364564426,2149.682497077474,1837,2453,837.0944012749692,982.3014902690777,-4.5825497428336235e-08,-4.235779839838033e-08,1046.414499245511,1075.4034194112305,2887.444741902498,2149.6824388687824
Wet gravel,3043.04404399865,2454.3780139106616,1747,2240,865.9045261022236,991.727975403158,-4.5137481143398264e-08,-4.213268395264779e-08,1075.384475270413,1100.0261652195218,3043.0439757252366,2454.377993191026
Wet gravel,2896.068515207754,2134.317122595204,2065,2761,930.5847210392503,1077.3767267164967,-4.3592849605129615e-08,-4.008730108667596e-08,1091.487781216715,1110.7291477719582,2896.067127333425,2134.3169379150245
Wet gravel,3026.159192332796,2204.601395112015,1488,2048,702.4537568077859,854.0863039743135,-4.904085857527326e-08,-4.5419712800906544e-08,1009.9438979761213,1061.51368109732,3026.149198572691,2204.601388990509
Wet gravel,3048.272819771459,2150.355988608234,1406,2095,637.5594207087923,788.508383719806,-5.059060403122164e-08,-4.69857829702652e-08,957.1059567994168,1014.7573153102729,3048.2691664064405,2150.3557626515044
Wet gravel,2850.82890666258,1993.169538436613,1600,2488,789.469794691402,950.6862561751572,-4.6962823458324804e-08,-4.3112803662646485e-08,1001.4251229284314,1035.31653156651,2850.8256763224667,1993.1694445005517
Wet gravel,2807.952208926177,2011.9098939652454,2038,2945,956.7839950481131,1119.0258400161197,-4.296718320209492e-08,-3.909267616314012e-08,1096.4857499604607,1112.753167341342,2807.870672709392,2011.9096395872016
Wet gravel,2709.8659302671736,2179.2373849574337,2420,3153,1068.2958971250544,1199.0545137219028,-4.030416091207137e-08,-3.718150670095596e-08,1152.6416992804943,1166.2792440398803,2709.840680777594,2179.237377040602
Wet gravel,2599.0506604308075,1909.3976809268124,2149,2918,985.6101039328765,1140.8319561489125,-4.227878520093981e-08,-3.8571923021646756e-08,1146.044391279623,1164.7364888352795,2599.035812728377,1909.3970313153436
Wet gravel,2501.0849644248133,1791.6230219999213,2028,2817,889.4361135117575,1038.0790161644238,-4.457552192089315e-08,-4.1025772022942986e-08,1096.2165756950817,1124.6546645702717,2501.0760063292937,1791.6228778768427
Wet gravel,2328.8914473597624,1596.5114414883303,1643,2367,828.6290581307785,997.3960576354816,-4.6027658785696284e-08,-4.1997324147593525e-08,1078.3139511037975,1116.2410612666263,2328.888600962992,1596.5110810916203
