Surface,ID,RMS,RMS_filt,Zero-Cross,Zero-Cross_filt,Spectral_centroid,Spectral_centroid_filt,Spectral_slope,Spectral_slope_filt,Spectral_spread,Spectral_spread_filt,STD,STD_filt
Wet Asphalt,2021_14_54_08-Nov-10.wav,29.546131336490145,1023.2270261771928,7470.0,8387.0,936.1162765399653,1018.4077705414255,-1.1362907766109597e-09,-1.127022450382761e-09,1641.8002127539407,1592.380153251768,1165.2142120361686,1023.2270261514894
Wet Asphalt,2021_14_54_18-Nov-10.wav,23.15806675597032,1283.3797635967028,8372.0,9884.0,869.1589820451281,980.9201782040631,-1.1438320426466055e-09,-1.1312446028604668e-09,1428.0567234274088,1453.2182136219508,1536.4345878936624,1283.37976259005
Wet Asphalt,2021_14_54_28-Nov-10.wav,22.35668020703268,1559.7493804458236,9023.0,10466.0,978.2654819774413,1050.050716002698,-1.1315435959819757e-09,-1.123458568782179e-09,1688.4131685238876,1527.0676573035357,1827.6135065101867,1559.7493748462664
Wet Asphalt,2021_14_54_39-Nov-10.wav,18.413845113958168,1917.0394219963503,8206.0,9659.0,868.5113810080219,999.8189193269749,-1.143904980654968e-09,-1.1291160754816066e-09,1434.7428599657667,1557.9960162588202,2310.5172789377752,1917.039351868865
Wet Asphalt,2021_14_54_49-Nov-10.wav,17.320114649651533,1903.750157204486,7371.0,9141.0,845.7708176252468,980.018608841144,-1.1464662047839264e-09,-1.1313461448129407e-09,1441.429067597404,1511.0967305874517,2390.523797470932,1903.7501455915508
Wet Asphalt,2021_14_54_59-Nov-10.wav,23.401502340017824,1529.2237878907065,5851.0,6894.0,721.5411591337694,813.8909637814346,-1.1604579425216852e-09,-1.1500567689013616e-09,1432.1327146021958,1415.6325882408203,1789.2183489004894,1529.2237720321082
Wet Asphalt,2021_14_55_09-Nov-10.wav,20.7227039980853,1788.0271750405598,7106.0,7752.0,864.7586451354639,944.8377641853526,-1.144327643783608e-09,-1.1353084929172013e-09,1550.9441928212245,1532.0542238577232,1983.690652828524,1788.0271701383122
Wet Asphalt,2021_14_55_19-Nov-10.wav,17.92616003505803,2028.601993456366,7819.0,8539.0,910.5094292394741,1007.277075743899,-1.1391748245594928e-09,-1.128276078255019e-09,1522.452646625754,1594.119749676888,2231.8382992110946,2028.6019923984395
Wet Asphalt,2021_14_55_30-Nov-10.wav,25.428027537718418,1417.8163048418264,7480.0,8204.0,992.1898396941965,1081.5079013936402,-1.129975323447821e-09,-1.1199156089664414e-09,1772.1168843379526,1814.8079571488954,1557.9633792917548,1417.8162892459793
Wet Asphalt,2021_14_55_40-Nov-10.wav,30.208937119664185,942.277433390313,6027.0,6707.0,745.7486271406032,833.5996394768702,-1.1577315038615479e-09,-1.1478370202130238e-09,1470.91164120298,1513.435731797191,1057.8194144787335,942.277430635518
Wet Asphalt,2021_14_55_50-Nov-10.wav,23.62215232993692,1421.653796879647,8390.0,9185.0,1020.5213730934578,1127.121261848159,-1.1267843995585937e-09,-1.1147782674928572e-09,1627.9801935591474,1702.5158377145412,1574.9539437351323,1421.6537920416124
Wet Asphalt,2021_14_56_00-Nov-10.wav,25.020781328775968,1162.7192196037163,10765.0,12123.0,1195.3681650502876,1318.552580988217,-1.1070917554102055e-09,-1.0932177412487585e-09,1817.4866602176637,1898.595499445382,1317.1632988327037,1162.719217714
Wet Asphalt,2021_14_56_10-Nov-10.wav,22.840242860469623,1349.4235712218465,10660.0,12527.0,1075.3586465872543,1204.1648368603537,-1.1206081872249537e-09,-1.1061010038744925e-09,1645.0886054835405,1669.1492652914012,1653.4012325859499,1349.4235681989796
Wet Asphalt,2021_14_56_20-Nov-10.wav,23.370532442651736,1309.0007895077847,10513.0,11875.0,1111.6946043163748,1232.87829819085,-1.1165157410476909e-09,-1.10286706420696e-09,1678.6801342823028,1764.594513009339,1491.6257880535823,1309.0007891121556
Wet Asphalt,2021_14_56_31-Nov-10.wav,24.62293314397941,1183.627366367137,10505.0,11924.0,1213.4181831310882,1337.106007350248,-1.1050588180085007e-09,-1.091128105980123e-09,1838.3127119844655,1886.9294961705348,1366.3578709941726,1183.6273540542495
Wet Asphalt,2021_14_56_41-Nov-10.wav,22.83097346847277,1424.9312542781172,11312.0,13849.0,1270.7157597399585,1405.3334964773242,-1.098605506660346e-09,-1.0834437804658793e-09,1990.7836906960383,1961.9743769688885,1760.3457424228461,1424.9312488431726
